Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GP,LapTimeSeconds
12,16,11.0,4.0,284.0,301.0,277.0,307.0,1,3,2.0,1,3,0,9.52425215480818,24.9,49.3,1002.3,0,44.2,226,0.4,2021,8,77.717
17,55,8.0,3.0,287.0,303.0,282.0,309.0,1,3,2.0,1,3,0,9.52425215480818,24.9,49.3,1002.3,0,44.2,226,0.4,2021,8,77.656
7,10,8.0,3.0,287.0,303.0,283.0,310.0,0,3,2.0,1,0,0,9.52425215480818,24.9,49.3,1002.3,0,44.2,226,0.4,2021,8,78.031
18,18,11.0,4.0,286.0,303.0,281.0,317.0,0,3,2.0,1,2,0,9.52425215480818,24.9,49.3,1002.3,0,44.2,226,0.4,2021,8,78.467
14,31,8.0,3.0,286.0,303.0,287.0,318.0,1,3,2.0,1,1,0,9.52425215480818,24.9,49.3,1002.3,0,44.2,226,0.4,2021,8,77.743
1,14,11.0,4.0,285.0,165.0,273.5594525235244,316.0,0,3,2.0,1,1,0,9.52425215480818,24.7,49.3,1002.3,0,44.2,226,0.4,2021,8,95.203
9,44,12.0,4.0,288.0,302.0,283.0,312.0,1,3,3.0,0,7,0,9.52425215480818,24.7,49.3,1002.3,0,44.2,226,0.4,2021,8,77.166
13,4,11.0,4.0,194.0,210.0,273.5594525235244,316.0,0,3,2.0,1,6,0,9.52425215480818,24.7,47.2,1002.4,0,44.5,191,0.6,2021,8,107.832
12,16,12.0,4.0,206.0,145.0,273.5594525235244,205.0,0,3,3.0,1,3,0,9.52425215480818,24.7,47.2,1002.4,0,44.5,191,0.6,2021,8,109.475
17,55,9.0,3.0,188.0,182.0,273.5594525235244,241.0,0,3,3.0,1,3,0,9.52425215480818,24.7,47.2,1002.4,0,44.5,191,0.6,2021,8,106.856
7,10,9.0,3.0,196.0,213.0,273.5594525235244,295.0,0,3,3.0,1,0,0,9.52425215480818,24.7,47.2,1002.4,0,44.5,191,0.6,2021,8,106.73
18,18,12.0,4.0,197.0,190.0,273.5594525235244,297.0,0,3,3.0,1,2,0,9.52425215480818,24.7,47.2,1002.4,0,44.5,191,0.6,2021,8,100.958
14,31,9.0,3.0,215.0,196.0,273.5594525235244,298.0,0,3,3.0,1,1,0,9.52425215480818,24.7,47.2,1002.4,0,44.5,191,0.6,2021,8,102.051
9,44,13.0,4.0,217.0,207.0,273.5594525235244,290.0,0,3,4.0,0,7,0,9.52425215480818,24.8,47.2,1002.4,0,44.5,191,0.6,2021,8,98.986
13,4,13.0,5.0,289.0,300.0,287.0,312.0,1,3,4.0,0,6,0,9.52425215480818,24.5,48.5,1002.3,0,44.1,219,0.2,2021,8,78.01
12,16,14.0,5.0,288.0,303.0,282.0,309.0,1,3,5.0,0,3,0,9.52425215480818,24.5,48.5,1002.3,0,44.1,219,0.2,2021,8,77.708
17,55,11.0,4.0,288.0,302.0,279.0,310.0,1,3,2.0,1,3,0,9.52425215480818,24.5,48.5,1002.3,0,44.1,219,0.2,2021,8,77.62
14,31,11.0,4.0,286.0,304.0,286.0,317.0,1,3,2.0,1,1,0,9.52425215480818,24.5,48.5,1002.3,0,44.1,219,0.2,2021,8,77.58
1,14,13.0,5.0,283.0,298.0,281.0,311.0,1,3,4.0,0,1,0,9.52425215480818,24.5,48.1,1002.2,0,44.2,238,0.4,2021,8,78.526
9,44,15.0,5.0,287.0,304.0,285.0,313.0,1,3,2.0,1,7,0,9.52425215480818,24.5,48.1,1002.2,0,44.2,238,0.4,2021,8,76.741
20,33,10.0,3.0,288.0,305.0,284.0,312.0,1,3,2.0,1,10,0,9.52425215480818,24.5,48.1,1002.2,0,44.2,238,0.4,2021,8,76.777
13,4,14.0,5.0,211.0,207.0,273.5594525235244,266.0,0,3,5.0,0,6,0,9.52425215480818,24.5,48.1,1002.2,0,44.2,238,0.4,2021,8,97.485
12,16,15.0,5.0,224.0,204.0,273.5594525235244,290.0,0,3,6.0,0,3,0,9.52425215480818,24.5,48.1,1002.2,0,44.2,238,0.4,2021,8,95.921
17,55,12.0,4.0,186.0,206.0,273.5594525235244,273.0,0,3,3.0,1,3,0,9.52425215480818,24.7,48.1,1002.2,0,44.2,238,0.4,2021,8,103.391
14,31,12.0,4.0,231.0,207.0,273.5594525235244,294.0,0,3,3.0,1,1,0,9.52425215480818,24.7,48.1,1002.2,0,44.2,238,0.4,2021,8,101.327
1,14,14.0,5.0,190.0,179.0,273.5594525235244,274.0,0,3,5.0,0,1,0,9.52425215480818,24.7,48.1,1002.2,0,44.2,238,0.4,2021,8,93.967
9,44,16.0,5.0,239.0,221.0,273.5594525235244,292.0,0,3,3.0,1,7,0,9.52425215480818,24.7,48.1,1002.2,0,44.2,238,0.4,2021,8,91.357
20,33,11.0,3.0,221.0,240.0,273.5594525235244,273.0,0,3,3.0,1,10,0,9.52425215480818,24.7,48.1,1002.2,0,44.2,238,0.4,2021,8,90.319
13,4,16.0,6.0,289.0,302.0,278.0,311.0,0,3,2.0,1,6,0,9.52425215480818,25.0,49.2,1002.2,0,43.7,208,0.5,2021,8,78.052
9,44,18.0,6.0,283.0,302.0,283.0,312.0,0,3,2.0,1,7,0,9.52425215480818,25.0,49.2,1002.2,0,43.7,208,0.5,2021,8,77.039
20,33,13.0,4.0,288.0,307.0,283.0,313.0,0,3,2.0,1,10,0,9.52425215480818,25.0,49.2,1002.2,0,43.7,208,0.5,2021,8,76.938
17,55,14.0,5.0,286.0,302.0,281.0,312.0,0,3,2.0,1,3,0,9.52425215480818,25.0,49.2,1002.2,0,43.7,208,0.5,2021,8,77.808
12,16,17.0,6.0,287.0,302.0,278.0,313.0,1,3,2.0,1,3,0,9.52425215480818,25.0,49.5,1002.2,0,44.0,211,0.7,2021,8,77.51
14,31,14.0,5.0,284.0,302.0,285.0,317.0,0,3,2.0,1,1,0,9.52425215480818,25.0,49.5,1002.2,0,44.0,211,0.7,2021,8,77.868
1,14,16.0,6.0,283.0,304.0,285.0,315.0,1,3,2.0,1,1,0,9.52425215480818,25.0,49.5,1002.2,0,44.0,211,0.7,2021,8,78.147
7,10,2.0,1.0,281.0,297.0,283.0,315.0,1,3,2.0,1,0,0,9.52425215480818,34.6,21.0,1003.5,0,47.6,168,2.2,2022,8,82.022
19,22,2.0,1.0,286.0,296.0,283.0,316.0,0,3,2.0,1,0,0,9.52425215480818,34.6,21.0,1003.5,0,47.6,168,2.2,2022,8,81.836
19,22,3.0,1.0,191.0,229.0,273.5594525235244,296.0,0,3,3.0,1,0,0,9.52425215480818,34.5,20.0,1003.5,0,47.6,166,2.5,2022,8,98.522
